table_iid,column_iid,column_label,ordinal,required,storage_type,value_domain_type,allowed_values,vocab_ref,null_tokens,description,notes
dictionary,table_iid,Table ID,1,yes,string,enum,packages|dictionary|parties|party-roles,vocab--registry-table-iid,none,Registry table this field belongs to.,
dictionary,column_iid,Column ID,2,yes,string,pattern,^[a-z][a-z0-9_]*$,,none,Exact machine-readable column name.,
dictionary,column_label,Column label,3,yes,string,free_text,,,none,Human-readable column label.,
dictionary,ordinal,Ordinal,4,yes,integer,range,1..999,,none,1-based position in the CSV header.,
dictionary,required,Required,5,yes,string,enum,yes|no|conditional,,none,Whether a value is required.,
dictionary,storage_type,Storage type,6,yes,string,enum,datetime|boolean|string|integer|float,,none,Logical storage type.,
dictionary,value_domain_type,Value domain type,7,yes,string,enum,enum|range|pattern|free_text|vocab,,none,How legal values are constrained.,
dictionary,allowed_values,Allowed values,8,conditional,string,free_text,,,blank|nap|unk,"Inline enum members, range, or regex. Pipe-delimit enum members with no spaces.",
dictionary,vocab_ref,Vocabulary reference,9,conditional,string,free_text,,,blank|nap|unk,Filename stem of governing controlled vocabulary.,
dictionary,null_tokens,Null tokens,10,yes,string,free_text,,,none,Legal null tokens. Use none when nulls are prohibited.,
dictionary,description,Description,11,yes,string,free_text,,,none,What the field means.,
dictionary,notes,Notes,12,no,string,free_text,,,blank|nap|unk,"Conditions, caveats, or curator notes.",
packages,dataset_id,Dataset ID,1,yes,string,pattern,UUIDv4,,none,Opaque UUIDv4 identifying the dataset concept. Mint once and reuse for every release.,
packages,ds_iid,Dataset IID,2,yes,string,pattern,^[a-z0-9]+(-[a-z0-9]+)*$,,none,Human-readable immutable dataset identifier; globally unique within the project.,
packages,release_id,Release ID,3,conditional,string,pattern,UUIDv7,,blank|nap,Opaque UUIDv7 identifying one acquired release/snapshot.,
packages,release_slug,Release slug,4,conditional,string,pattern,^[a-z0-9-]+--ing[0-9]{8}--r[0-9]{3}$,,blank|nap,Readable release identifier: {ds_iid}--ing{YYYYMMDD}--r{NNN}.,
packages,title,Title,5,yes,string,free_text,,,none,Source-facing title of the dataset or release.,
packages,abstract,Abstract,6,yes,string,free_text,,,none,What the dataset contains and why it exists.,
packages,purpose,Local purpose,7,no,string,free_text,,,blank|nap|unk,Why this project/lab holds or uses this release.,
packages,source_org,Source organization,8,yes,string,free_text,,,blank|nap|unk,Organization that produced or supplied the data.,
packages,source_citation,Source citation,9,yes,string,free_text,,,blank|nap|unk,"Preferred source citation, using source wording when available.",
packages,landing_page_url,Landing page URL,10,no,string,free_text,,,blank|nap|unk,Public landing page if one exists.,
packages,doi,DOI,11,no,string,free_text,,,blank|nap|unk,DOI for this or a closely related public record.,
packages,eml_package_id,EML package ID,12,no,string,free_text,,,blank|nap|unk,Identifier if published as an EML package.,
packages,repo_scope,Repository,13,no,string,free_text,,,blank|nap|unk,Repository or platform holding a related record.,
packages,repo_identifier,Repository identifier,14,no,string,free_text,,,blank|nap|unk,Identifier within repo_scope.,
packages,repo_revision,Repository revision,15,no,string,free_text,,,blank|nap|unk,Revision/version within repo_scope.,
packages,coverage_start,Coverage start,16,conditional,datetime,pattern,YYYY|YYYY-MM|YYYY-MM-DD,,blank|nap|unk,Earliest observation date; partial ISO dates are allowed.,
packages,coverage_end,Coverage end,17,conditional,datetime,pattern,YYYY|YYYY-MM|YYYY-MM-DD,,blank|nap|unk,Latest observation date; partial ISO dates are allowed.,
packages,published_date,Published/supplied date,18,no,datetime,pattern,YYYY-MM-DD,,blank|nap|unk,Date the source published or supplied the release.,
packages,ingest_date,Ingest date,19,conditional,datetime,pattern,YYYY-MM-DD,,blank|nap|unk,Date the lab acquired the release; encoded in release_slug.,
packages,geo_description,Geographic description,20,conditional,string,free_text,,,blank|nap|unk,Human-readable spatial coverage.,
packages,west,West,21,no,float,range,-180..180,,blank|nap|unk,Westernmost longitude in WGS84 decimal degrees.,
packages,east,East,22,no,float,range,-180..180,,blank|nap|unk,Easternmost longitude in WGS84 decimal degrees.,
packages,south,South,23,no,float,range,-90..90,,blank|nap|unk,Southernmost latitude in WGS84 decimal degrees.,
packages,north,North,24,no,float,range,-90..90,,blank|nap|unk,Northernmost latitude in WGS84 decimal degrees.,
packages,spatial_reference,Spatial reference,25,no,string,free_text,,,blank|nap|unk,CRS/datum of source coordinates.,
packages,content_domains,Content domains,26,conditional,string,vocab,,vocab--content-domains,blank|nap|unk,Pipe-delimited controlled terms describing kinds of data present.,
packages,license,License,27,conditional,string,free_text,,,blank|nap|unk,Reuse license or concise reuse terms.,
packages,intellectual_rights,Intellectual rights,28,conditional,string,free_text,,,blank|nap|unk,Full rights/access statement and unresolved restrictions.,
packages,methods_summary,Methods summary,29,conditional,string,free_text,,,blank|nap|unk,"How source data were produced, with citations where available.",
packages,processing_summary,Processing summary,30,conditional,string,free_text,,,blank|nap|unk,What the lab did to the acquired delivery before/while registering it.,
packages,upstream_release_ids,Upstream release IDs,31,no,string,free_text,,,blank|nap|unk,"Pipe-delimited release_id values that this release supersedes, derives from, or builds on.",
packages,file_manifest_path,File manifest path,32,conditional,string,free_text,,,blank|nap|unk,Project-relative POSIX path to SHA-256 file manifest.,
packages,manifest_sha256,Manifest SHA-256,33,conditional,string,pattern,^[0-9a-f]{64}$,,blank|nap|unk,SHA-256 digest of the manifest file.,
packages,file_count,File count,34,conditional,integer,range,0..,,blank|nap|unk,Number of raw files covered by the manifest.,
packages,total_bytes,Total bytes,35,conditional,integer,range,0..,,blank|nap|unk,Total bytes of raw files covered by the manifest.,
packages,release_status,Release status,36,yes,string,vocab,,vocab--release-status,none,Curation stage for this release.,
packages,notes,Notes,37,no,string,free_text,,,blank|nap|unk,Anything a future curator needs to know.,
