concept_iid,term_code,pref_label,alt_labels,definition,broader_id,status,created,modified,scope_note,related_ids,exact_match_ids,close_match_ids,replaced_by,source,note
credit-role--conceptualization,conceptualization,Conceptualization,,"Ideas, formulation or evolution of overarching research goals and aims.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--data-curation,data-curation,Data curation,,"Management activities to annotate (produce metadata), scrub data and maintain research data (including software code, where it is necessary for interpreting the data itself) for initial use and later re-use.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--formal-analysis,formal-analysis,Formal analysis,,"Application of statistical, mathematical, computational, or other formal techniques to analyze or synthesize study data.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--funding-acquisition,funding-acquisition,Funding acquisition,,Acquisition of the financial support for the project leading to this publication.,,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--investigation,investigation,Investigation,,"Conducting a research and investigation process, specifically performing the experiments, or data/evidence collection.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--methodology,methodology,Methodology,,Development or design of methodology; creation of models.,,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--project-administration,project-administration,Project administration,,Management and coordination responsibility for the research activity planning and execution.,,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--resources,resources,Resources,,"Provision of study materials, reagents, materials, patients, laboratory samples, animals, instrumentation, computing resources, or other analysis tools.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--software,software,Software,,"Programming, software development; designing computer programs; implementation of the computer code and supporting algorithms; testing of existing code components.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--supervision,supervision,Supervision,,"Oversight and leadership responsibility for the research activity planning and execution, including mentorship external to the core team.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--validation,validation,Validation,,"Verification, whether as a part of the activity or separate, of the overall replication/reproducibility of results/experiments and other research outputs.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--visualization,visualization,Visualization,,"Preparation, creation and/or presentation of the published work, specifically visualization/data presentation.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--writing-original-draft,writing-original-draft,Writing – original draft,,"Preparation, creation and/or presentation of the published work, specifically writing the initial draft (including substantive translation).",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
credit-role--writing-review-editing,writing-review-editing,Writing – review & editing,,"Preparation, creation and/or presentation of the published work by those from the original research group, specifically critical review, commentary or revision – including pre- or post-publication stages.",,active,2026-09-14,2026-09-14,Canonical contributor role from the CRediT Contributor Role Taxonomy.,,,,,https://credit.niso.org/contributor-roles-defined/,Canonical CRediT label and definition; term_code is the local machine-readable code.
